source1_entity_id	true_entity_id	true_source	previous_status	new_status	previous_reason	new_reason
S1-385338713	S2-543717376	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-19593330	S2-813554231	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-19593330	S2-200759904	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-459898634	S2-754528564	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-751233527	S2-142272219	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	near_match_outside_top_k	
S1-952266463	S2-815318202	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-854207766	S2-202538022	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-854207766	S2-350815586	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-793019850	S2-565838685	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-183283123	S3-804180847	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_digit_variation	
S1-155027115	S2-780856981	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-327685774	S2-495893925	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-549086594	S2-808013831	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-388325812	S3-131944817	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_token_order_variation	name_token_order_variation
S1-388325812	S3-197262044	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-576426786	S2-744028128	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-838617018	S3-239301588	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-621488922	S3-521016420	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-621488922	S3-809402643	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-464761064	S2-476337457	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-441821984	S3-890496189	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-952571031	S3-106480282	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-183760590	S2-947379718	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-585596917	S3-870808310	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-988321030	S2-950284560	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-988321030	S2-121165186	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_digit_variation	
S1-988321030	S3-640381656	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-809024061	S2-730625481	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-360909582	S3-551329412	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_similarity_below_top_k_threshold	
S1-942104958	S2-946678919	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-942104958	S3-915116552	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-942104958	S3-105932328	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-942104958	S3-887375431	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-299434720	S3-330665696	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-218948566	S3-666592235	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-169108778	S2-650989582	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-658151638	S2-538524338	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-658151638	S3-57947058	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-200572754	S3-46468591	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-766458019	S3-449535996	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-766458019	S3-787789921	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-947166860	S3-29876156	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-930625292	S2-913963814	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-122232705	S3-816700908	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-104955523	S2-324764832	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-565539266	S2-492189110	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-208973592	S2-481660181	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_token_order_variation	name_token_order_variation
S1-208973592	S3-931413846	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-760271020	S2-102338406	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-760271020	S2-867554145	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-760271020	S2-234214850	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	near_match_outside_top_k	near_match_outside_top_k
S1-760271020	S3-746538040	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-378245327	S2-525888317	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-378245327	S3-646121866	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-552321484	S3-424336274	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-130264484	S2-32411869	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-130264484	S3-11461627	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-226564818	S2-891882828	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-574668375	S3-59072810	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-596555182	S2-697857785	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-829983869	S3-260788533	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-567424927	S3-921353007	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	name_variation_near_threshold	
S1-40162994	S3-695018314	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-16609748	S2-54823044	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	near_match_outside_top_k	
S1-675959550	S3-112098039	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_digit_variation	
S1-555543655	S3-676781473	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-943879014	S3-420174178	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-765734254	S3-799567902	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-392214139	S2-90508167	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_similarity_below_top_k_threshold	
S1-184794725	S3-469499839	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-582307657	S3-992288030	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-52507682	S2-761485390	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-52507682	S2-291898427	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	name_variation_no_shared_tokens	
S1-52507682	S3-84022886	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-722170008	S2-445745602	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-763279630	S3-57165051	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-833798119	S3-342879520	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-886434037	S2-915146508	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_similarity_below_top_k_threshold	address_similarity_below_top_k_threshold
S1-684505968	S3-300894176	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-372903225	S3-845582833	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-479783161	S2-877881238	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-241678218	S3-93364060	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-872302647	S2-951619159	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-872302647	S3-56614947	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-872302647	S3-983622567	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-305440895	S3-210855008	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-305440895	S3-292471555	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-305440895	S3-547827089	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-882796400	S3-885523752	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-900870097	S3-948310651	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-900870097	S3-962132902	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-900870097	S3-883136069	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-242195439	S3-63470648	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_similarity_below_top_k_threshold	address_similarity_below_top_k_threshold
