source1_entity_id	true_entity_id	true_source	normalized_name_s1	normalized_name_true	normalized_address_s1	normalized_address_true	country_s1	country_true	name_similarity	address_similarity	digit_similarity	candidate_missing_reason	failed_strategy
S1-999023589	S2-137990607	S2	sunrise builders limited	ಸನ್ ರೈಸ್ ಬಿಲ್ಡರ್ಸ್ ಲಿಮಿಟೆಡ್	karnataka bangalore 4a peenya industrial area bangalore	door number b3 536 4a peenya industrial area bangalore bengaluru bangalore karnataka	india	india	0.078431	0.57554	0.333333	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-999023589	S3-586599866	S3	sunrise builders limited	ಸನ್ ರೈಸ್ builders ಲಿಮಿಟೆಡ್	karnataka bangalore 4a peenya industrial area bangalore	4a bangalore ka	india	india	0.4	0.371429	1.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-999023589	S3-694949056	S3	sunrise builders limited	services sunrise limited	karnataka bangalore 4a peenya industrial area bangalore	4a bangalore ka	india	india	0.625	0.371429	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-820196196	S3-895972861	S3	mohanlalganj infra private limited	mohanlalganj infra	beli kalan gosainganj mohanlalganj lucknow uttar pradesh	beli kalan lucknow hq region lucknow up	india	india	0.692308	0.526316	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-820196196	S3-111158665	S3	mohanlalganj infra private limited	imprivate com	beli kalan gosainganj mohanlalganj lucknow uttar pradesh	beli kalan lucknow lucknow hq region उत्तर प्रदेश gosainganj	india	india	0.425532	0.362069	1.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-820196196	S3-512010478	S3	mohanlalganj infra private limited	mohanlalganj private limited services	beli kalan gosainganj mohanlalganj lucknow uttar pradesh		india	india	0.788732	0.0	1.0	missing_address_field	exact_address_blocking|address_similarity
S1-126927804	S2-434788498	S2	future healthcare private limited	फ्यूचर हेल्थकेयर प्रा लि	unit number 14 krishna commercial centre 6 udyog nagar near kamat club goregaon west mumbai maharashtra	unit number 14 n a west mumbai maharashtra	india	india	0.105263	0.565517	0.5	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-126927804	S3-773054197	S3	future healthcare private limited	फ्यूचर हेल्थकेयर प्रा लि	unit number 14 krishna commercial centre 6 udyog nagar near kamat club goregaon west mumbai maharashtra	unit number 14 west mumbai महाराष्ट्र	india	india	0.105263	0.385714	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-979513513	S3-822534788	S3	sai technology private limited	sai technology private enterprises	flat number a 301 3rd floor vinayak chs ltd chendani koliwada mumbai mumbai city maharashtra		india	india	0.78125	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-627406325	S2-990016149	S2	ivc institute of technology	mr ivc institute of technology corporation	srno 56 4 1 vision one society shop number 105 pune pune city pune maharashtra		india	india	0.782609	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-800072803	S3-51678768	S3	anshu digital corporation	dr anshu digital	d 622 vashi plaza 4th floor sector 17 vashi navi mumbai maharashtra	d 622 vashi navi mumbai mh	india	india	0.634146	0.55914	0.333333	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-800072803	S3-303518217	S3	anshu digital corporation	anshu dghli corporation	d 622 vashi plaza 4th floor sector 17 vashi navi mumbai maharashtra	d 622 navi mumbai mh	india	india	0.833333	0.45977	0.333333	address_digit_variation	address_similarity|exact_address_blocking
S1-705522256	S2-494110020	S2	iq synergy limited	iq synergy	plno 292 bno 9 varad apartment tal maval talegaon pune maharashtra		india	india	0.714286	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-705522256	S3-779523916	S3	iq synergy limited	iq synergy	plno 292 bno 9 varad apartment tal maval talegaon pune maharashtra	plno c 292 talegaon pune महाराष्ट्र	india	india	0.714286	0.455446	0.5	address_digit_variation	address_similarity|exact_address_blocking
S1-916406672	S3-168595840	S3	gibson fashion llc	gibson llc services	23326 53rd avenue kent wa	53rd avenue washington kent	us	us	0.540541	0.615385	0.5	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-39641619	S2-712311340	S2	global global private limited	ग्लोबल ग्लोबल प्राइवेट लिमिटेड	virar maharashtra thakur arcade above viva super market virar west thane 28 30	28 30 null virar maharashtra	india	india	0.101695	0.320755	1.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-39641619	S3-76298342	S3	global global private limited	global global pcriaite limited	virar maharashtra thakur arcade above viva super market virar west thane 28 30	28 30 palghar thane mh	india	india	0.949153	0.22	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-39641619	S3-245091850	S3	global global private limited	ग्लोबल ग्लोबल प्राइवेट लिमिटेड	virar maharashtra thakur arcade above viva super market virar west thane 28 30	28 30 palghar महाराष्ट्र	india	india	0.101695	0.098039	1.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-84838337	S2-774689342	S2	little hair studio	litt1e hair studio	20458 crosslin road earlsboro ok		us	us	0.944444	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-84838337	S3-532973078	S3	little hair studio	little hair studio service enterprises	20458 crosslin road earlsboro ok		us	us	0.642857	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-917085859	S2-869027552	S2	shivam systems llp	शिवम सिस्टम्स एलएलपी	palwal 561 housing board colony faridabad nakul farm haryana hathin	हरियाणा faridabad nakul farm	india	india	0.105263	0.442105	0.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-355110377	S2-741696974	S2	anchor medical systems pc	anchor medical	258 meadowbrook lane nelson county va	258 meadowbrook ln roseland va	us	us	0.717949	0.656716	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-2169715	S3-720040227	S3	saus llc	saus l l c	2410 42nd court gary in		us	us	0.888889	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-399649742	S3-417206503	S3	miles technology india private limited	miles technology india private	19 number rn mukherjee road 2nd floor kolkata kolkata kolkata howrah west bengal	block g 473 19 number rn mukherjee road 2nd floor kolkata kolkata calcutta dalhousie kolkata wb	india	india	0.882353	0.731429	0.666667	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-6381641	S3-894616241	S3	tirupati technology llp	tirupati technortoyg llp	plot number 407 sri swamy ayyappa society co operative society madhapur hyderabad telangana	door number 407 rangareddi hyderabad తెలంగాణ	india	india	0.893617	0.4	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-581574549	S2-750713886	S2	harbor pharmaceutical llc	harbor pharmacefuical llc	138 12 234 street rosedale ny	ny rosedale 138 12 234 saint	us	us	0.96	0.45614	1.0	address_similarity_below_top_k_threshold	address_similarity|exact_address_blocking
S1-960126068	S2-433145651	S2	corner ice cream	corner ice cream córporation	1015 country club drive la porte tx		us	us	0.727273	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-973233920	S3-110090880	S3	data materials networks	data networks service	609 hickory street ottawa ks	hickory street otatwa kansas	us	us	0.590909	0.821429	0.0	name_variation_near_threshold	name_similarity|exact_name_blocking
S1-845493376	S3-74171796	S3	raven llc	rvon llc	1016 welch street village of belleville wi	belleille city 1016 welch street wisconsin	us	us	0.823529	0.47619	1.0	address_similarity_below_top_k_threshold	address_similarity|exact_address_blocking
S1-570361411	S2-603890088	S2	shyam ventures private limited	ਸ਼ਿਆਮ ਵੈਂਚਰਜ਼ ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ	771 sector 91 sas nagar mohali punjab	771 mohali punjab	india	india	0.101695	0.62963	0.5	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-570361411	S2-592744157	S2	shyam ventures private limited	ਸ਼ਿਆਮ ਵੈਂਚਰਜ਼ ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ	771 sector 91 sas nagar mohali punjab	771 mohali ਪੰਜਾਬ	india	india	0.101695	0.415094	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-570361411	S3-935890494	S3	shyam ventures private limited	shyam ventures ptaiddate limited	771 sector 91 sas nagar mohali punjab	771 mohali ਪੰਜਾਬ	india	india	0.903226	0.415094	0.5	address_digit_variation	address_similarity|exact_address_blocking
S1-570361411	S3-616914483	S3	shyam ventures private limited	shyam ventures private	771 sector 91 sas nagar mohali punjab	771 mohali pb	india	india	0.846154	0.52	0.5	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-393137673	S2-486337760	S2	shree chem private limited	shree chem private	number 5 22 a seelamvaripalem t saicharan ghantasala mandal srikakulam krishna andhra pradesh		india	india	0.818182	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-912508322	S2-276782865	S2	shiv technologies llp	ಶಿವ್ ಟೆಕ್ನಾಲಜೀಸ್ ಎಲ್ಎಲ್ ಪಿ	42 16th cross 8th main road malleswaram bengaluru bangalore karnataka	karnataka bengaluru 42 bangalore	india	india	0.085106	0.455446	0.333333	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-377745466	S3-402918963	S3	b retail incorporated	b rétail incorporated	1712 montebello avenue phoenix az	1712 montebello avenue northeast arizona	us	us	0.952381	0.767123	1.0	near_match_outside_top_k	name_similarity|address_similarity
S1-454231145	S2-290451718	S2	temple catholic church	temple catholic	3896 avondale road williams az		us	us	0.810811	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-454231145	S2-323003949	S2	temple catholic church	temple church service	3896 avondale road williams az	valle az 3896 avondale road	us	us	0.604651	0.631579	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-454231145	S3-844062088	S3	temple catholic church	temple church catholic	3896 avondale road williams az	3896 avondale road valle arizona	us	us	0.681818	0.774194	1.0	name_variation_near_threshold	name_similarity|exact_name_blocking
S1-800294363	S2-90945076	S2	great investments private limited	ಗ್ರೇಟ್ ಇನ್ವೆಸ್ಟ್ ಮೆಂಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್	106 8th main road malleswaram west bangalore karnataka	106 bangalore bengaluru urban karnataka	india	india	0.08	0.494624	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-267736961	S3-555494719	S3	gold financial private limited	gold finaolca private limited	gf shop 7 gayatri vihar apartment 411 b32prantika garia garden south 24 parganas west bengal		india	india	0.915254	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-932043072	S3-899187966	S3	gujarat construction private limited	gujarat construction limited partners 26757	office number 01 a 4 first floor house number 285 kh number 136 2 near shiv chowk rohini jail road delhi north west delhi delhi	a 667 office number 01 north west delhi delhi dl	india	india	0.708861	0.445714	0.166667	address_digit_variation	address_similarity|exact_address_blocking
S1-652366527	S2-546028668	S2	step brothers private limited	shri step brothers private limited 36386	193 golf links new delhi delhi	193 golf links delhi	india	india	0.84058	0.8	1.0	near_match_outside_top_k	name_similarity|address_similarity
S1-557018978	S3-265670689	S3	rg kuries limited	limited rg kúries	number 169c second floor k p road agastheeswaram kanyakumari tamil nadu	number 0169c agastheeswaram n a tn	india	india	0.411765	0.590476	0.0	name_token_order_variation	name_similarity|exact_name_blocking
S1-238331147	S2-667940175	S2	sree it limited	श्री आईटी लिमिटेड	plot number 21 office number 101 106 first floor block g vardhman chamber ii community centre vikaspuri new delhi west delhi delhi	door number 21 new delhi west delhi delhi	india	india	0.125	0.444444	0.333333	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-238331147	S3-727417613	S3	sree it limited	sree ít limited	plot number 21 office number 101 106 first floor block g vardhman chamber ii community centre vikaspuri new delhi west delhi delhi	dl new delhi plot number 22	india	india	0.933333	0.165605	0.0	address_digit_variation	address_similarity|exact_address_blocking
S1-873914076	S3-56154787	S3	fluent brothers	fluent btres	mr 1 altf mohan cooperative plot number a 26 block b mohan cooperative industrial estate saidabad new delhi new delhi south delhi delhi		india	india	0.814815	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-481666470	S2-893661944	S2	shakti services	शक्ति सर्विसेज	101 plot number a11 midas chambers off link road andheri w est mumbai mumbai city maharashtra	101 mumbai mumbai city maharashtra	india	india	0.068966	0.535433	0.5	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-481666470	S3-857040894	S3	shakti services	smt shakti services	101 plot number a11 midas chambers off link road andheri w est mumbai mumbai city maharashtra	101 mumbai mumbai city mh	india	india	0.882353	0.423729	0.5	address_digit_variation	address_similarity|exact_address_blocking
S1-335478469	S3-103297781	S3	audy parker blue yield corporation	audyparkerblue com	1064 dwarf lane bedford county va	dwarf ln null bedford county virginia	us	us	0.653846	0.742857	0.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-294620997	S3-182699572	S3	city foundation	mr city foundation	kp vl 337 tc 95 2713 cgra 32 2 surabi anayara po thiruvananthapuram thiruvananthapuram trivandrum kerala	dobr number 34 kp vl 337 trivandrum thiruvananthapuram കേരളം	india	india	0.909091	0.463415	0.166667	address_digit_variation	address_similarity|exact_address_blocking
S1-88592935	S2-298586784	S2	internal medicine center	internalmedicinecenter com	2812 13th avenue wa spokane	02812 thirteenth avenue spokane wa	us	us	0.88	0.721311	0.0	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-88592935	S3-248819741	S3	internal medicine center	internal medicine medicine	2812 13th avenue wa spokane	2812 thirteenth avenue spokane washington	us	us	0.8	0.647059	0.5	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-710909094	S3-17904782	S3	halley parker american corporation	nylatavo	4502 indian school road unit 221 phoenix az	4502 indian school road pmb 9847 arcadia arizona	us	us	0.190476	0.615385	0.333333	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-710909094	S3-57569233	S3	halley parker american corporation	halley parker	4502 indian school road unit 221 phoenix az	4502 indian school road 221 arcadia arizona	us	us	0.553191	0.744186	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-758075760	S2-65752861	S2	bharat investments	bharat investments company	number 7 3rd floor n w a club road market sector iv market west punjabi bagh new delhi delhi		india	india	0.818182	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-758075760	S3-957484857	S3	bharat investments	भारत इन्वेस्टमेंट्स	number 7 3rd floor n w a club road market sector iv market west punjabi bagh new delhi delhi	number 7 new delhi दिल्ली west punjabi bagh	india	india	0.054054	0.459259	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-758075760	S3-449179044	S3	bharat investments	bharat services enterprises	number 7 3rd floor n w a club road market sector iv market west punjabi bagh new delhi delhi		india	india	0.622222	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-753495835	S2-518701172	S2	orbic indigo	deltaorbiiri	1779 mill lane millcreek ut	salt lake city 1779 mill ln ut	us	us	0.5	0.526316	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-176567267	S3-12316490	S3	gsj foundation	gsj founsdatlion 5898	plot number a1 jaipur rajasthan a2 a3 a4 kh number 52 53 mahapura urf kukar kheda sikar road		india	india	0.8	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-835581754	S3-723539917	S3	cure coffee	cure coffee company	2840 dave ward drive unit apartment f2 conway ar	arkansas conway 2840 dave ward dr	us	us	0.733333	0.419753	0.5	address_digit_variation	address_similarity|exact_address_blocking
S1-835581754	S3-793749688	S3	cure coffee	cure coffee center	2840 dave ward drive unit apartment f2 conway ar	2840 dave ward dr conway arkansas	us	us	0.758621	0.666667	0.5	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-933384875	S3-773914201	S3	universal agro private limited	smt universalagrocom	18 137 mhb colony sarvoday nagar nr hema ind nr samarth vidyalay jogeshwari east mumbai mumbai city maharashtra	d 18 137 mhb colony mumbai vasai महाराष्ट्र	india	india	0.56	0.363636	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-386654734	S3-508283569	S3	one enterprises	వన్ ఎంటర్ ప్రైజెస్	h number 6 3 712 90 23 2nd floor beside agarwal eye hospital panjagutta hyderabad telangana	h number 6 3 712 90 2 hyderabad తెలంగాణ	india	india	0.060606	0.492308	0.833333	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-95194363	S3-323416945	S3	dream hotels private limited	dream hotels private	flat number 1a bhootal high ve height apartment semra chinhat lucknow uttar pradesh	flat number 1a lucknow faizabad road उत्तर प्रदेश	india	india	0.833333	0.393939	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-298646564	S3-390263275	S3	zar academy private limited	zar academy private	ram krishna co operative society near durga chowk number 20 gorewada maharashtra nagpur	number 9 20 nagpur mh	india	india	0.826087	0.296296	0.5	address_digit_variation	address_similarity|exact_address_blocking
S1-68456921	S2-154545552	S2	dynamic hospitality private limited	डायनामिक हॉस्पिटैलिटी प्राइवेट लिमिटेड	2nd floor trivedi bhawan pghpl group campus opp western gate a n college boring r oad patna bihar	floor patna bihar	india	india	0.082192	0.298246	0.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-224534945	S2-518930624	S2	gitanjali realestate private limited	privaterealestate com 85158	khasra number 950 950 me and 951 village kilhora jalalabad hapur hapur ghaziabad uttar pradesh	950 ghaziabad new delhi uttar pradesh	india	india	0.444444	0.412214	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-419235241	S2-331102815	S2	zirain eco limited	dovaevo	t hub foundation 1 c 83 1 level 6 raidurg panmakth shaikpet hyderabad telangana	number 524 t hub foundation 1 c 83 1 telangana shaikpet	india	india	0.24	0.597015	0.5	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-304785953	S3-633775998	S3	lafferty certified lifesciences incorporated	laffertycertifiedlifesciences com	13315 schwenger place fairfax county va	13315 schwenher place herndon virginia	us	us	0.831169	0.623377	1.0	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-53041046	S2-219647551	S2	guru care llp	गुरु केयर एलएलपी	gali number 3 behind city mall vijay nagar gokalgarh rewari haryana	gali number 3 null divreportingcircle haryana	india	india	0.137931	0.553571	1.0	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-53041046	S3-674116550	S3	guru care llp	गुरु केयर एलएलपी	gali number 3 behind city mall vijay nagar gokalgarh rewari haryana	rewari hr gokalgarh gali number 003	india	india	0.137931	0.254902	0.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-233040222	S3-946248914	S3	crystal navios llc	crystal návi0s llc	14107 james dean drive carmel in		us	us	0.888889	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-774387323	S3-163732269	S3	trusty homes incorporated	trusty ínc center	130 elm lane north hempstead ny	130 elm ln new hyde park new york	us	us	0.52381	0.46875	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-872978967	S2-845711730	S2	urology regional clinic corporation	urology regional clinic	2220 66th lane phoenix az	2220 66st ln phoenix az	us	us	0.793103	0.916667	1.0	near_match_outside_top_k	name_similarity|address_similarity
S1-872978967	S3-93715521	S3	urology regional clinic corporation	beloveoorbi	2220 66th lane phoenix az	2220 66th lane pmb 8229 maryvale arizona	us	us	0.304348	0.615385	0.666667	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-872978967	S3-435170483	S3	urology regional clinic corporation	urology regional clinic	2220 66th lane phoenix az	arizona phoenix 2220 66th ln pmb 8229	us	us	0.793103	0.483871	0.666667	address_digit_variation	address_similarity|exact_address_blocking
S1-358618259	S2-846810182	S2	one builders private limited	వన్ బిల్డర్స్ ప్రైవేట్ లిమిటెడ్	flat number 202 plot number 25 sunder nagar s r nagar hyderabad telangana	hyderabad s r nagar flat number 202 andhra pradesh	india	india	0.101695	0.373984	0.5	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-358618259	S3-270180570	S3	one builders private limited	m s one builders private limited	flat number 202 plot number 25 sunder nagar s r nagar hyderabad telangana		india	india	0.933333	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
